pgc,al2000,de2000,ring
3132287,8.6457955,50.6189971,R
3133780,9.3897793,53.056964,R
3135354,9.4475117,56.2498792,R
3136724,9.709925,59.1050287,R
3138316,9.8086849,63.2265044,R
3281604,10.2986987,-1.4309053,R
3354323,8.7558956,3.0832402,R
3355098,9.2950122,3.9547217,R
3356282,9.9172447,4.6214411,R
3389456,8.2071965,34.4590289,R
3390512,8.7997305,39.5380944,R
3398012,7.9936545,28.5385309,R
3398037,8.0188718,29.1480481,R
3398785,8.7339797,36.4815429,R
3398827,8.6898614,36.386296,R
3399179,8.7292858,37.22821,R
3406492,7.6716993,28.46442,R
3407419,10.1506149,45.0634904,R
3407669,10.1655735,56.7369782,R
3440756,9.5424814,44.6898188,R
3441140,7.6088447,38.5162336,R
3442895,7.7010242,22.9003184,R
3442920,7.7073177,22.3483206,R
3444084,7.8762091,29.3471038,R
3445790,8.0664467,23.7556897,R
3446588,8.2164607,25.6176239,R
3448822,8.4912805,39.6411017,R
3448972,8.5073282,5.245895,R
3449158,8.5236395,32.7810419,R
3451131,8.7390266,33.9638062,R
3451173,8.7436931,43.6531487,R
3451932,8.852022,4.810186,R
3452133,8.8740492,5.0184876,R
3452674,8.9310702,36.9143552,R
3453821,9.0531616,38.1260079,R
3454634,9.1391194,39.8769157,R
3454651,9.1404846,35.1927401,R
3455196,9.1921376,41.5428822,R
3455843,9.255687,41.3218639,R
3456430,9.3156169,40.383012,R
3457149,9.3837597,5.022145,R
3458419,9.5199269,5.2145484,R
3458721,9.5655236,5.6600886,R
3459208,9.6315922,39.0388496,R
3460090,9.7298978,49.8974336,R
3460256,9.7478794,8.424878,R
3462291,9.985727,8.2360653,R
3463070,10.0939701,5.7907841,R
3463401,10.1410114,5.6980997,R
3463652,10.1793049,49.8398762,R
3463774,10.2020105,6.7812635,R
3464732,10.331649,7.819435,R
3521633,7.8649672,19.7483903,R
3522963,8.2529868,7.3837082,R
3527856,9.0729647,7.5548039,R
3527875,9.0759969,34.1508807,R
3530459,9.5288353,33.5962438,R
3530525,9.536178,36.8271493,R
3530999,9.6124012,35.0250638,R
3533255,10.0826423,12.5087794,R
3534543,10.3084782,39.0745265,R
3580813,10.0929743,39.4813291,R
3721760,7.5040859,35.8518508,R
3721973,7.5240093,35.9589649,R
3723004,7.6295317,46.9517888,R
3723567,7.6944655,47.6880634,R
3724484,7.8191402,18.123061,R
3724857,7.8667321,16.5637337,R
3724963,7.8840114,16.8929217,R
3726639,8.0906573,55.5925961,R
3727662,8.2020941,52.7415806,R
3729859,8.3935477,4.3840537,R
3730322,8.4403395,23.778983,R
3730789,8.4826616,24.6183583,R
3732827,8.679125,14.2959219,R
3734281,8.8131579,24.7883627,R
3734905,8.8671428,60.9732195,R
3735508,8.9185042,18.7803992,R
3735917,8.9526984,59.1552511,R
3736510,9.0006257,57.8351796,R
3738727,9.1687022,57.6244031,R
3738746,9.1697625,20.3474268,R
3738899,9.1822098,15.8112896,R
3739019,9.1916968,14.4558106,R
3740533,9.308211,25.9684706,R
3741188,9.3610465,13.5000006,R
3741768,9.4054101,14.2351,R
3743207,9.518637,64.2449933,R
3744043,9.5864069,27.2606772,R
3745077,9.6579363,66.6704841,R
3745370,9.6760627,13.5015099,R
3745710,9.6970874,25.0636424,R
3746091,9.7210907,27.5168159,R
3746765,9.76936,17.4122515,R
3749771,9.9902786,34.0803166,R
3750929,10.08971,28.6489901,R
3751431,10.1294541,16.5050859,R
3752820,10.2347907,26.5977572,R
3753354,10.2755866,7.5731882,R
4081939,7.8070981,17.1746627,R
4085763,8.5360304,22.5561949,R
4171249,8.6134331,31.829039,R
4193292,9.2230122,44.1956323,R
