iauname,not_ring_pred,ring_pred,link,ra,dec,redshift,elpetro_absmag_r,sersic_nmgy_r,petro_th50,petro_th90,petro_theta
J135613.98+241910.3,0.0260587502270936,0.9739412665367126,https://storage.yandexcloud.net/ring-galaxies/J135613.98%2B241910.3.jpg,209.05827384165386,24.319558099770987,0.12981208,-21.637407,384.71884,4.670312,10.808941,8.798181
J155317.59+172851.2,0.026086563244462,0.9739134907722472,https://storage.yandexcloud.net/ring-galaxies/J155317.59%2B172851.2.jpg,238.3233346369056,17.48090009655755,0.13367854,-20.976702,93.699265,4.695026,13.070651,12.012248
J075747.51+160148.8,0.0261019878089427,0.9738979935646056,https://storage.yandexcloud.net/ring-galaxies/J075747.51%2B160148.8.jpg,119.44797931615456,16.030230164926316,0.01609346,-19.05396,1635.9792,3.5852053,11.654552,10.158915
J000313.62-033053.3,0.0261466838419437,0.973853349685669,https://storage.yandexcloud.net/ring-galaxies/J000313.62-033053.3.jpg,0.8067187099112696,-3.514807511796274,0.07429484,-21.131947,605.4727,2.1385596,6.5815725,4.4772305
J094446.39-000219.8,0.0261687859892845,0.9738311767578124,https://storage.yandexcloud.net/ring-galaxies/J094446.39-000219.8.jpg,146.19331052221625,-0.03883910392139548,0.06296081,-20.427202,523.6757,2.7118394,8.844737,5.471516
J124825.13+071106.6,0.0261731781065464,0.9738268852233888,https://storage.yandexcloud.net/ring-galaxies/J124825.13%2B071106.6.jpg,192.1047425148182,7.185174945444066,0.0811148,-21.794811,966.22723,7.5441313,21.254805,15.874659
J132507.92+011747.5,0.026179751381278,0.9738202095031738,https://storage.yandexcloud.net/ring-galaxies/J132507.92%2B011747.5.jpg,201.28303151733942,1.2965376744992607,0.082639925,-21.150345,479.46213,3.5870962,9.8813925,8.523943
J023804.33-074616.3,0.0262228175997734,0.9737771153450012,https://storage.yandexcloud.net/ring-galaxies/J023804.33-074616.3.jpg,39.51805302792757,-7.771224289785285,0.053072885,-20.623426,828.36163,4.13664,12.061677,10.513791
J124605.71+001846.0,0.0262230150401592,0.9737769961357116,https://storage.yandexcloud.net/ring-galaxies/J124605.71%2B001846.0.jpg,191.52382937356893,0.3127925426127984,0.08331896,-21.135908,540.85126,2.6134822,8.301952,5.1902356
J114014.55+094850.7,0.026251308619976,0.9737486243247986,https://storage.yandexcloud.net/ring-galaxies/J114014.55%2B094850.7.jpg,175.06065072368173,9.814123317046425,0.11942156,-22.460424,786.82416,5.442715,13.420155,11.823557
J141441.58-024950.7,0.0262729730457067,0.97372704744339,https://storage.yandexcloud.net/ring-galaxies/J141441.58-024950.7.jpg,213.67327821524577,-2.830743448345452,0.11570588,-21.645441,386.8219,2.8869452,8.351036,7.2249613
J011639.07-001328.9,0.0263010431081056,0.973698914051056,https://storage.yandexcloud.net/ring-galaxies/J011639.07-001328.9.jpg,19.162836314361165,-0.22469620509818916,0.09168707,-20.992275,248.7911,3.6751902,9.652617,10.032744
J141545.94+102619.8,0.0263061597943305,0.97369384765625,https://storage.yandexcloud.net/ring-galaxies/J141545.94%2B102619.8.jpg,213.94147291984228,10.438860503541557,0.025799751,-20.305256,2515.2063,7.2894897,17.698072,16.429203
J011819.80-002314.9,0.0263512916862964,0.973648726940155,https://storage.yandexcloud.net/ring-galaxies/J011819.80-002314.9.jpg,19.58253869134578,-0.38749588132148044,0.13210277,-20.619404,61.665,1.556126,5.3301015,4.6113777
J162358.79+222336.1,0.0263599902391433,0.9736400246620178,https://storage.yandexcloud.net/ring-galaxies/J162358.79%2B222336.1.jpg,245.99500362391592,22.393367269409943,0.03700787,-21.180325,3188.7603,5.1121736,16.14955,10.634818
J151127.70+054542.0,0.0263839401304721,0.973616063594818,https://storage.yandexcloud.net/ring-galaxies/J151127.70%2B054542.0.jpg,227.86668809011638,5.761671398537333,0.06706344,-19.994305,194.85977,5.0550656,12.075812,10.039089
J124456.06+020328.6,0.0264242198318243,0.9735757112503052,https://storage.yandexcloud.net/ring-galaxies/J124456.06%2B020328.6.jpg,191.23361467762248,2.0579626560457367,0.048385475,-19.22448,261.2537,3.9031565,9.373409,7.875165
J100112.66+034940.9,0.0265090800821781,0.9734908938407898,https://storage.yandexcloud.net/ring-galaxies/J100112.66%2B034940.9.jpg,150.30277250842622,3.8280521300847283,0.043684684,-20.131067,677.9169,4.975659,10.752045,10.145617
J094139.67+114950.9,0.0265706032514572,0.9734294414520264,https://storage.yandexcloud.net/ring-galaxies/J094139.67%2B114950.9.jpg,145.41531246455315,11.830833544936864,0.075184174,-21.458643,754.6074,4.5247393,14.449284,13.998901
J120212.24-014031.1,0.026591669768095,0.973408341407776,https://storage.yandexcloud.net/ring-galaxies/J120212.24-014031.1.jpg,180.55102141868238,-1.6752933103908352,0.13172273,-21.581003,184.2669,3.6060777,9.32407,8.705801
J101331.99-031006.9,0.0266436003148555,0.9733563661575316,https://storage.yandexcloud.net/ring-galaxies/J101331.99-031006.9.jpg,153.38321707754397,-3.1685744147839086,0.043666944,-21.084673,2009.3887,4.355278,14.821093,11.133017
J140611.14+065518.3,0.0266500562429428,0.973349928855896,https://storage.yandexcloud.net/ring-galaxies/J140611.14%2B065518.3.jpg,211.54644520899203,6.921766140608565,0.07201486,-21.033802,636.7973,3.0369594,9.59387,7.458277
J123225.92+094416.4,0.0266506262123584,0.9733493328094482,https://storage.yandexcloud.net/ring-galaxies/J123225.92%2B094416.4.jpg,188.10802172337063,9.7379136247925,0.0640241,-20.952103,674.9281,5.1902356,14.373225,11.57657
J013313.10-075354.9,0.0266703274101018,0.9733297228813172,https://storage.yandexcloud.net/ring-galaxies/J013313.10-075354.9.jpg,23.304670536215788,-7.8987258074510605,0.04189238,-20.30147,893.69073,4.0287313,10.752045,10.199303
J124746.75+110523.1,0.0266998633742332,0.9733000993728638,https://storage.yandexcloud.net/ring-galaxies/J124746.75%2B110523.1.jpg,191.94483113471017,11.089787445974016,0.124375,-21.636547,216.02977,2.8739326,8.569049,7.95873
J011706.55-033000.8,0.0267141442745924,0.9732859134674072,https://storage.yandexcloud.net/ring-galaxies/J011706.55-033000.8.jpg,19.277275407094006,-3.500262335896193,0.05691613,-20.835804,699.5375,6.1451564,13.998901,12.464323
J122816.65+045651.8,0.0267544891685247,0.9732454419136048,https://storage.yandexcloud.net/ring-galaxies/J122816.65%2B045651.8.jpg,187.06937147812508,4.94774776285921,0.0794238,-21.055677,469.96933,2.7696965,8.301952,5.7985616
J114216.60+140359.0,0.0267731565982103,0.9732268452644348,https://storage.yandexcloud.net/ring-galaxies/J114216.60%2B140359.0.jpg,175.57033741888768,14.066592443819257,0.020736998,-19.912075,3794.3406,8.098305,22.549417,18.855566
J080816.72+094207.2,0.0267736557871103,0.9732263684272766,https://storage.yandexcloud.net/ring-galaxies/J080816.72%2B094207.2.jpg,122.06967756986951,9.702017960359454,0.06666786,-20.232529,373.05225,3.4641922,11.3908,7.718815
J103216.93+085532.7,0.0268170274794101,0.9731830358505248,https://storage.yandexcloud.net/ring-galaxies/J103216.93%2B085532.7.jpg,158.07055902966917,8.925744919760444,0.077365205,-20.02675,228.56453,2.7261894,8.214783,5.471516
